Country/Region,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
Bosnia and Herzegovina,0.0,0.0,13.548387096774194,43.266666666666666,23.516129032258064,64.3,234.51612903225808,260.9032258064516,241.16666666666666,720.6774193548387,1213.2,706.4516129032259,301.741935483871,313.57142857142856,1246.6774193548388,904.5666666666667,179.06451612903226,30.966666666666665,20.096774193548388,264.4516129032258,667.2,555.5483870967741,690.5666666666667,495.0967741935484,1811.4193548387098,789.5357142857143,130.93548387096774,51.1,26.35483870967742,26.266666666666666,199.32258064516128,338.16129032258067,91.86666666666666,39.12903225806452,18.9,13.806451612903226,12.64516129032258,6.428571428571429,3.0
Botswana,0.0,0.0,0.12903225806451613,0.6333333333333333,0.3870967741935484,6.3,18.612903225806452,26.741935483870968,48.266666666666666,111.93548387096774,136.66666666666666,131.06451612903226,209.29032258064515,201.17857142857142,294.2258064516129,201.86666666666667,259.3225806451613,490.23333333333335,1137.0,1620.5483870967741,743.1,237.8709677419355,259.56666666666666,788.4193548387096,1081.516129032258,389.7857142857143,1341.1612903225807,15.266666666666667,69.09677419354838,488.1,87.12903225806451,12.709677419354838,14.8,1.1612903225806452,9.633333333333333,39.58064516129032,44.096774193548384,17.857142857142858,1.0
Brazil,0.0,0.06896551724137931,184.3548387096774,2678.366666666667,13675.322580645161,29379.433333333334,39063.12903225807,38801.1935483871,28606.9,22084.354838709678,26467.133333333335,41518.77419354839,48533.87096774193,47181.42857142857,69836.0,60797.96666666667,58854.58064516129,64449.833333333336,41636.12903225807,27183.774193548386,20713.933333333334,11748.41935483871,9363.066666666668,5787.548387096775,102190.6129032258,112921.07142857143,36542.58064516129,15657.433333333332,18210.935483870966,43266.7,45156.032258064515,18512.548387096773,8089.033333333334,5039.5161290322585,13018.8,33198.1935483871,15912.870967741936,7678.321428571428,406.0967741935484
Brunei Darussalam,0.0,0.0,4.161290322580645,0.23333333333333334,0.0967741935483871,0.0,0.0,0.0967741935483871,0.06666666666666667,0.06451612903225806,0.06666666666666667,0.1935483870967742,0.7419354838709677,0.21428571428571427,0.8387096774193549,0.36666666666666664,0.4838709677419355,0.5333333333333333,2.4516129032258065,76.61290322580645,141.93333333333334,187.2258064516129,60.4,11.580645161290322,32.45161290322581,1680.9285714285713,2150.0,231.16666666666666,218.16129032258064,497.6666666666667,1327.8387096774193,463.06451612903226,250.36666666666667,319.35483870967744,675.5,287.03225806451616,298.3225806451613,68.75,31.06451612903226
Bulgaria,0.0,0.0,12.870967741935484,36.13333333333333,30.903225806451612,82.33333333333333,210.83870967741936,142.90322580645162,145.96666666666667,1032.6129032258063,3041.0333333333333,1725.516129032258,522.8387096774194,980.6428571428571,3000.2258064516127,1935.1,442.93548387096774,100.53333333333333,101.6774193548387,986.9032258064516,1489.1666666666667,3169.0,2885.266666666667,1611.1612903225807,6573.580645161291,4577.535714285715,1451.7096774193549,559.1,264.38709677419354,229.43333333333334,1093.9032258064517,1068.8064516129032,527.1333333333333,623.0,255.36666666666667,151.4516129032258,105.6774193548387,48.82142857142857,21.612903225806452
Burkina Faso,0.0,0.0,8.419354838709678,12.1,6.387096774193548,3.8333333333333335,4.645161290322581,7.258064516129032,22.866666666666667,13.290322580645162,12.866666666666667,121.80645161290323,124.3225806451613,43.357142857142854,22.161290322580644,17.866666666666667,3.7096774193548385,1.4666666666666666,2.838709677419355,6.096774193548387,15.533333333333333,17.129032258064516,40.233333333333334,52.645161290322584,96.51612903225806,3.642857142857143,3.2903225806451615,0.23333333333333334,1.096774193548387,4.833333333333333,2.7096774193548385,0.0,16.766666666666666,0.0,0.0,12.096774193548388,0.6129032258064516,1.1071428571428572,0.0
Burundi,0.0,0.0,0.06451612903225806,0.3,1.6774193548387097,3.566666666666667,7.0,1.6129032258064515,2.1,2.4193548387096775,3.3,4.161290322580645,26.129032258064516,20.5,19.129032258064516,38.43333333333333,24.903225806451612,21.633333333333333,51.54838709677419,158.51612903225808,171.43333333333334,66.45161290322581,11.233333333333333,223.67741935483872,324.7096774193548,24.821428571428573,12.32258064516129,49.3,65.6774193548387,20.8,84.19354838709677,128.3548387096774,30.2,8.935483870967742,18.266666666666666,22.70967741935484,52.67741935483871,4.178571428571429,0.0
Cabo Verde,0.0,0.0,0.1935483870967742,3.8333333333333335,10.096774193548388,25.633333333333333,38.193548387096776,45.29032258064516,68.46666666666667,86.03225806451613,63.766666666666666,33.03225806451613,70.90322580645162,46.5,65.74193548387096,209.83333333333334,203.61290322580646,64.46666666666667,38.61290322580645,49.41935483870968,69.0,19.70967741935484,5.066666666666666,107.70967741935483,426.83870967741933,5.892857142857143,2.096774193548387,2.1666666666666665,9.64516129032258,138.6,44.806451612903224,5.064516129032258,1.7333333333333334,0.7419354838709677,21.333333333333332,4.806451612903226,0.9354838709677419,0.5357142857142857,0.0
Cambodia,0.03225806451612903,0.0,3.4838709677419355,0.43333333333333335,0.0967741935483871,0.5333333333333333,3.161290322580645,1.096774193548387,0.1,0.41935483870967744,1.1333333333333333,1.5806451612903225,2.806451612903226,12.642857142857142,51.483870967741936,364.1666666666667,525.9354838709677,655.8333333333334,834.1612903225806,488.4193548387097,638.0333333333333,181.90322580645162,50.7,10.741935483870968,27.35483870967742,317.35714285714283,162.4516129032258,18.966666666666665,0.3225806451612903,0.5666666666666667,16.35483870967742,25.516129032258064,8.266666666666667,3.5483870967741935,3.566666666666667,15.419354838709678,3.2903225806451615,0.8571428571428571,0.06451612903225806
Cameroon,0.0,0.0,6.225806451612903,53.3,131.3548387096774,206.5,150.41935483870967,60.87096774193548,47.63333333333333,30.806451612903224,78.06666666666666,57.74193548387097,89.3225806451613,217.75,385.64516129032256,497.1,215.4516129032258,64.3,38.903225806451616,43.903225806451616,269.76666666666665,328.9032258064516,143.16666666666666,71.58064516129032,237.1290322580645,90.07142857142857,9.806451612903226,7.866666666666666,5.387096774193548,4.033333333333333,4.741935483870968,46.354838709677416,0.0,63.774193548387096,12.133333333333333,0.0,0.0,14.25,0.0
